    i,  t(s),    U(V),    I(A), Tself, Tprob
    0,    99, 19.3307,  0.0000,  20.8, 807.8
    1,    99, 19.3307,  0.0000,  20.8, 807.8
    2,   100, 19.3305,  0.0000,  20.8, 807.8
    3,   100, 19.3307,  0.0000,  20.8, 807.8
    4,   100, 19.3305,  0.0000,  20.8, 807.8
    5,   101, 19.3305,  0.0000,  20.8, 807.8
    6,   101, 19.3307,  0.0000,  20.8, 807.8
    7,   101, 19.3307,  0.0000,  20.8, 807.8
    8,   102, 19.3307,  0.0000,  20.8, 807.8
    9,   102, 19.3307,  0.0000,  20.8, 807.8
   10,   102, 19.3305,  0.0000,  20.8, 807.8
   11,   103, 19.3307,  0.0000,  20.8, 807.8
   12,   103, 19.3305,  0.0000,  20.8, 807.8
   13,   103, 19.3305,  0.0000,  20.8, 807.8
   14,   104, 19.3305,  0.0000,  20.8, 807.8
   15,   104, 19.3307,  0.0000,  20.8, 807.8
   16,   104, 19.3305,  0.0000,  20.8, 807.8
   17,   105, 19.3305,  0.0000,  20.8, 807.8
   18,   105, 19.3307,  0.0000,  20.8, 807.8
   19,   105, 19.3307,  0.0000,  20.8, 807.8
   20,   106, 19.3290,  0.0081,  20.8, 807.8
   21,   106, 19.3287,  0.0098,  20.8, 807.8
   22,   106, 19.3285,  0.0107,  20.8, 807.8
   23,   107, 19.3283,  0.0108,  20.8, 807.8
   24,   107, 19.3285,  0.0107,  20.8, 807.8
   25,   107, 19.3283,  0.0107,  20.8, 807.8
   26,   108, 19.3287,  0.0100,  20.8, 807.8
   27,   108, 19.3285,  0.0103,  20.8, 807.8
   28,   108, 19.3283,  0.0107,  20.8, 807.8
   29,   109, 19.3283,  0.0107,  20.8, 807.8
   30,   109, 19.3285,  0.0107,  20.8, 807.8
   31,   109, 19.3283,  0.0107,  20.8, 807.8
   32,   110, 19.3283,  0.0107,  20.8, 807.8
   33,   110, 19.3283,  0.0107,  20.8, 807.8
   34,   110, 19.3285,  0.0100,  20.8, 807.8
   35,   111, 19.3285,  0.0103,  20.8, 807.8
   36,   111, 19.3283,  0.0107,  20.8, 807.8
   37,   111, 19.3283,  0.0107,  20.8, 807.8
   38,   112, 19.3283,  0.0107,  20.8, 807.8
   39,   112, 19.3283,  0.0107,  20.8, 807.8
   40,   112, 19.3285,  0.0107,  20.8, 807.8
   41,   113, 19.3283,  0.0107,  20.9, 807.9
   42,   113, 19.3285,  0.0100,  20.9, 807.9
   43,   113, 19.3285,  0.0103,  20.9, 807.9
   44,   114, 19.3283,  0.0107,  20.8, 807.8
   45,   114, 19.3283,  0.0107,  20.8, 807.8
   46,   114, 19.3283,  0.0107,  20.8, 807.8
   47,   115, 19.3283,  0.0107,  20.8, 807.8
   48,   115, 19.3283,  0.0107,  20.8, 807.8
   49,   115, 19.3283,  0.0107,  20.8, 807.8
   50,   116, 19.3285,  0.0100,  20.8, 807.8
   51,   116, 19.3285,  0.0103,  20.8, 807.8
   52,   116, 19.3283,  0.0107,  20.8, 807.8
   53,   117, 19.3285,  0.0107,  20.9, 807.9
   54,   117, 19.3285,  0.0107,  20.9, 807.9
   55,   117, 19.3285,  0.0107,  20.9, 807.9
   56,   118, 19.3283,  0.0107,  20.8, 807.8
   57,   118, 19.3283,  0.0107,  20.8, 807.8
   58,   118, 19.3285,  0.0100,  20.8, 807.8
   59,   119, 19.3285,  0.0102,  20.8, 807.8
   60,   119, 19.3285,  0.0107,  20.8, 807.8
   61,   119, 19.3285,  0.0107,  20.8, 807.8
   62,   120, 19.3287,  0.0107,  20.8, 807.8
   63,   120, 19.3285,  0.0107,  20.8, 807.8
   64,   120, 19.3287,  0.0107,  20.8, 807.8
   65,   121, 19.3283,  0.0107,  20.8, 807.8
   66,   121, 19.3285,  0.0100,  20.8, 807.8
   67,   121, 19.3285,  0.0102,  20.8, 807.8
   68,   122, 19.3285,  0.0107,  20.8, 807.8
   69,   122, 19.1018,  0.9057,  20.8, 807.8
   70,   122, 18.7908,  2.1247,  20.8, 807.8
   71,   123, 18.7946,  2.1259,  20.9, 807.9
   72,   123, 18.7916,  2.1253,  20.9, 807.9
   73,   123, 18.7922,  2.1260,  20.9, 807.9
   74,   124, 18.7896,  2.1396,  20.8, 807.8
   75,   124, 18.7914,  2.1261,  20.8, 807.8
   76,   124, 18.7962,  2.1261,  20.8, 807.8
   77,   125, 18.7968,  2.1262,  20.9, 807.9
   78,   125, 18.7978,  2.1260,  20.9, 807.9
   79,   125, 18.7986,  2.1262,  20.9, 807.9
   80,   126, 18.7994,  2.1256,  20.8, 807.8
   81,   126, 18.8000,  2.1253,  20.8, 807.8
   82,   126, 18.8004,  2.1254,  20.8, 807.8
   83,   127, 18.7970,  2.1386,  20.8, 807.8
   84,   127, 18.7978,  2.1247,  20.8, 807.8
   85,   127, 18.8026,  2.1244,  20.8, 807.8
   86,   128, 18.8028,  2.1248,  20.9, 807.9
   87,   128, 18.8036,  2.1243,  20.9, 807.9
   88,   128, 18.8042,  2.1243,  20.9, 807.9
   89,   129, 18.8050,  2.1240,  20.9, 807.9
   90,   129, 18.8054,  2.1242,  20.9, 807.9
   91,   129, 18.8058,  2.1235,  20.9, 807.9
